,TITLE,AUTHOR,RATING,REVIEWERS,URL LINKS
50,The Odyssey,Homer,3.79,947326,https://www.goodreads.com/book/show/1381.The_Odyssey
51,The Lovely Bones,Alice Sebold,3.83,2167286,https://www.goodreads.com/book/show/12232938-the-lovely-bones
52,Where the Wild Things Are,Maurice Sendak,4.22,906809,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
53,Green Eggs and Ham,Dr. Seuss,4.3,692035,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
54,Life of Pi,Yann Martel,3.92,1464179,https://www.goodreads.com/book/show/4214.Life_of_Pi
55,A Tale of Two Cities,Charles Dickens,3.86,869340,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
56,The Kite Runner,Khaled Hosseini,4.32,2724271,https://www.goodreads.com/book/show/77203.The_Kite_Runner
57,Lolita,Vladimir Nabokov,3.88,732788,https://www.goodreads.com/book/show/7604.Lolita
58,Water for Elephants,Sara Gruen,4.1,1486482,https://www.goodreads.com/book/show/43641.Water_for_Elephants
59,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.83,1321237,https://www.goodreads.com/book/show/35031085-frankenstein
60,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.12,1704993,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
61,"The Giver (The Giver, #1)",Lois Lowry,4.13,2067107,https://www.goodreads.com/book/show/3636.The_Giver
62,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08,1227380,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
63,Little Women,Louisa May Alcott,4.12,1904463,https://www.goodreads.com/book/show/1934.Little_Women
64,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,3194318,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
65,"Dune (Dune, #1)",Frank Herbert,4.25,1033856,https://www.goodreads.com/book/show/44767458-dune
66,1984,George Orwell,4.19,3730448,https://www.goodreads.com/book/show/40961427-1984
67,Catch-22,Joseph Heller,3.98,772332,https://www.goodreads.com/book/show/168668.Catch_22
68,The Stand,Stephen King,4.34,682120,https://www.goodreads.com/book/show/149267.The_Stand
69,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.32,698135,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
70,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,268675,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
71,"Watership Down (Watership Down, #1)",Richard  Adams,4.07,455081,https://www.goodreads.com/book/show/76620.Watership_Down
72,The Bell Jar,Sylvia Plath,4.03,700665,https://www.goodreads.com/book/show/6514.The_Bell_Jar
73,Matilda,Roald Dahl,4.33,778316,https://www.goodreads.com/book/show/39988.Matilda
74,Great Expectations,Charles Dickens,3.79,716584,https://www.goodreads.com/book/show/2623.Great_Expectations
75,Anna Karenina,Leo Tolstoy,4.07,742268,https://www.goodreads.com/book/show/15823480-anna-karenina
76,"Outlander (Outlander, #1)",Diana Gabaldon,4.24,924684,https://www.goodreads.com/book/show/10964.Outlander
77,One Flew Over the Cuckoo's Nest,Ken Kesey,4.2,674283,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
78,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.15,2870468,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
79,Rebecca,Daphne du Maurier,4.24,531534,https://www.goodreads.com/book/show/17899948-rebecca
80,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,3364722,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
81,My Sister's Keeper,Jodi Picoult,4.09,1126070,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper
82,The Color Purple,Alice Walker,4.24,586008,https://www.goodreads.com/book/show/52892857-the-color-purple
83,A Tree Grows in Brooklyn,Betty  Smith,4.28,418632,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
84,The Brothers Karamazov,Fyodor Dostoevsky,4.34,273783,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
85,A Clockwork Orange,Anthony Burgess,4.0,650262,https://www.goodreads.com/book/show/41817486-a-clockwork-orange
86,The Road,Cormac McCarthy,3.97,787141,https://www.goodreads.com/book/show/6288.The_Road
87,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.13,582716,https://www.goodreads.com/book/show/252577.Angela_s_Ashes
88,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,600787,https://www.goodreads.com/book/show/345627.Vampire_Academy
89,Siddhartha,Hermann Hesse,4.05,659815,https://www.goodreads.com/book/show/52036.Siddhartha
90,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.0,1396998,https://www.goodreads.com/book/show/119322.The_Golden_Compass
91,The Poisonwood Bible,Barbara Kingsolver,4.08,692697,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible
92,Don Quixote,Miguel de Cervantes Saavedra,3.88,235576,https://www.goodreads.com/book/show/3836.Don_Quixote
93,Atlas Shrugged,Ayn Rand,3.69,370410,https://www.goodreads.com/book/show/662.Atlas_Shrugged
94,The Old Man and the Sea,Ernest Hemingway,3.79,958249,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
95,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.12,1479044,https://www.goodreads.com/book/show/33648131-the-notebook
96,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.33,298865,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
97,The Complete Stories and Poems,Edgar Allan Poe,4.37,233125,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems
98,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.01,525623,https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
99,A Prayer for Owen Meany,John Irving,4.23,300073,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany
100,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,3005530,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
101,"Moby-Dick or, the Whale",Herman Melville,3.52,509449,https://www.goodreads.com/book/show/153747.Moby_Dick_or_the_Whale
102,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.37,2548923,https://www.goodreads.com/book/show/3263607-the-fellowship-of-the-ring
103,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,2791101,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
104,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,756141,https://www.goodreads.com/book/show/7171637-clockwork-angel
105,The Red Tent,Anita Diamant,4.19,554455,https://www.goodreads.com/book/show/4989.The_Red_Tent
106,The Secret Life of Bees,Sue Monk Kidd,4.07,1194026,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees
107,And Then There Were None,Agatha Christie,4.27,1029968,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
108,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.37,2548923,https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
109,The Stranger,Albert Camus,4.0,834233,https://www.goodreads.com/book/show/49552.The_Stranger
110,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,816429,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
111,The Shining,Stephen King,4.25,1273443,https://www.goodreads.com/book/show/11588.The_Shining
112,The Master and Margarita,Mikhail Bulgakov,4.3,282094,https://www.goodreads.com/book/show/117833.The_Master_and_Margarita
113,Middlesex,Jeffrey Eugenides,4.02,609065,https://www.goodreads.com/book/show/2187.Middlesex
114,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3212805,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
115,Flowers for Algernon,Daniel Keyes,4.17,550662,https://www.goodreads.com/book/show/36576608-flowers-for-algernon
116,The Adventures of Tom Sawyer,Mark Twain,3.92,836088,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer
117,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.92,1578983,https://www.goodreads.com/book/show/113436.Eragon
118,The Metamorphosis,Franz Kafka,3.84,779257,https://www.goodreads.com/book/show/485894.The_Metamorphosis
119,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.15,750627,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
120,Looking for Alaska,John Green,3.99,1321110,https://www.goodreads.com/book/show/99561.Looking_for_Alaska
